order_id,order_date,customer_id,customer_name,customer_type,product_id,product_name,category,unit_price,quantity,discount_rate,subtotal,total_amount,sales_amount,region,salesperson,status,review_flag
O0001,2026-02-27,C005,北斗システム,法人,P001,ノートPC,IT機器,98000,3,0.10,294000,264600,264600,九州,佐藤,完了,通常
O0002,2026-08-05,C001,青空商事,法人,P001,ノートPC,IT機器,93100,3,0.05,279300,265335,265335,関西,伊藤,完了,通常
O0003,2026-08-03,C008,個人顧客B,個人,P004,USB-Cハブ,IT機器,6500,1,0.05,6500,6175,6175,関西,田中,処理中,通常
O0004,2026-06-24,C003,さくら物流,法人,P005,ワイヤレスマウス,周辺機器,3800,30,0.05,114000,108300,108300,関東,高橋,完了,通常
O0005,2026-06-26,C005,北斗システム,法人,P010,オフィスチェア,オフィス家具,30400,20,0.05,608000,577600,0,東北,佐藤,キャンセル,要レビュー
O0006,2026-05-31,C010,個人顧客D,個人,P011,デスク,オフィス家具,24800,2,0.05,49600,47120,47120,関西,高橋,完了,通常
O0007,2026-02-10,C002,みらい工業,法人,P004,USB-Cハブ,IT機器,6200,3,0.10,18600,16740,16740,中部,高橋,完了,通常
O0008,2026-04-18,C005,北斗システム,法人,P011,デスク,オフィス家具,23600,10,0.00,236000,236000,236000,関西,田中,完了,通常
O0009,2026-07-14,C009,個人顧客C,個人,P005,ワイヤレスマウス,周辺機器,3800,2,0.05,7600,7220,7220,関西,佐藤,処理中,通常
O0010,2026-06-11,C005,北斗システム,法人,P007,ヘッドセット,周辺機器,8500,3,0.15,25500,21675,21675,中部,鈴木,処理中,要レビュー
O0011,2026-09-13,C008,個人顧客B,個人,P007,ヘッドセット,周辺機器,8900,1,0.00,8900,8900,8900,中部,伊藤,完了,通常
O0012,2026-08-08,C007,個人顧客A,個人,P010,オフィスチェア,オフィス家具,32000,1,0.10,32000,28800,28800,関東,佐藤,完了,通常
O0013,2026-02-26,C003,さくら物流,法人,P003,Webカメラ,IT機器,7800,10,0.05,78000,74100,74100,東北,伊藤,完了,通常
O0014,2026-05-09,C001,青空商事,法人,P009,USBメモリ 64GB,ストレージ,1700,10,0.05,17000,16150,16150,中部,佐藤,完了,通常
O0015,2026-05-31,C003,さくら物流,法人,P007,ヘッドセット,周辺機器,8900,1,0.10,8900,8010,8010,九州,鈴木,完了,通常
O0016,2026-02-24,C005,北斗システム,法人,P011,デスク,オフィス家具,26000,10,0.00,260000,260000,260000,九州,伊藤,処理中,通常
O0017,2026-01-01,C006,ひかり企画,法人,P010,オフィスチェア,オフィス家具,32000,1,0.15,32000,27200,27200,中部,鈴木,処理中,要レビュー
O0018,2026-01-30,C010,個人顧客D,個人,P004,USB-Cハブ,IT機器,5900,1,0.00,5900,5900,5900,九州,鈴木,完了,通常
